CAR_ID,品牌系列,长度(mm),宽度(mm),高度(mm),轴距(mm),前轮距(mm),后轮距(mm),接近角(°),离去角(°),车身结构,车门开启方式,车门数(个),座位数(个),油箱容积(L),后备厢容积(L),风阻系数(Cd),最小离地间隙(mm),最大涉水深度(mm),最小转弯半径(m),满载最小离地间隙(mm),纵向通过角(°),最大爬坡度(%),最大载重质量(kg),后排车门开启方式,前备厢容积(L),最大爬坡角度(°),空载最小离地间隙(mm),氢瓶容积(L)
71819,奔驰S级,5290,1921,1503,3216,1655,1651,14.7,15.9,三厢车,平开门,(标配)4,(标配)5,76,535,0.22,,,,,,,,,,,,
71820,奔驰S级,5320,1921,1503,3216,1655,1651,13.6,15.6,三厢车,平开门,(标配)4,(标配)5,76,500,0.22,,,,,,,,,,,,
71818,奔驰S级,5320,1921,1503,3216,1655,1651,13.6,15.6,三厢车,平开门,(标配)4,(标配)5,76,500,0.22,,,,,,,,,,,,
67448,奔驰S级,5290,1921,1503,3216,1655,1651,14.7,15.9,三厢车,平开门,(标配)4,(标配)5,76,535,0.22,,,,,,,,,,,,
67449,奔驰S级,5290,1921,1503,3216,1655,1651,14.7,15.9,三厢车,平开门,(标配)4,(标配)5,76,535,0.22,,,,,,,,,,,,
67450,奔驰S级,5320,1921,1503,3216,1655,1651,13.6,15.6,三厢车,平开门,(标配)4,(标配)5,76,500,0.22,,,,,,,,,,,,
67451,奔驰S级,5320,1921,1503,3216,1655,1651,13.6,15.6,三厢车,平开门,(标配)4,(标配)5,76,500,0.22,,,,,,,,,,,,
70558,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)5,76,,,,,,,,,,,,,,
67444,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)5,76,,,,,,,,,,,,,,
70557,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,,,,,,,,,,,,,,
68040,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,,,,,,,,,,,,,,
72308,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,,,,,,,,,,,,,,
72306,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,495,,,,,,,,,,,,,
68041,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,,,,,,,,,,,,,,
61337,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,495,,,,,,,,,,,,,
67446,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)5,76,,,,,,,,,,,,,,
70555,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,,,,,,,,,,,,,,
72307,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,505,,,,,,,,,,,,,
70556,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,,,,,,,,,,,,,,
54579,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,495,,,,,,,,,,,,,
67445,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,,,,,,,,,,,,,,
72305,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,,,,,,,,,,,,,,
72410,奔驰GLB,4638,1834,1696,2829,1590,1589,19,24,SUV,平开门,(标配)5,(标配)5,52,703-1430,,,,,,,,,,,,,
72409,奔驰GLB,4638,1834,1701,2829,1590,1589,19,24,SUV,平开门,(标配)5,(标配)7,52,703-1430,,,,,,,,,,,,,
68210,奔驰GLB,4638,1834,1696,2829,1590,1592,19,24,SUV,平开门,(标配)5,(标配)5,52,703-1430,,,,,,,,,,,,,
68208,奔驰GLB,4638,1834,1706,2829,1589,1589,20,25,SUV,平开门,(标配)5,(标配)7,52,703-1430,,,,,,,,,,,,,
68209,奔驰GLB,4638,1834,1706,2829,1589,1589,20,25,SUV,平开门,(标配)5,(标配)7,60,703-1430,,,,,,,,,,,,,
68970,奔驰GLB,4638,1834,1687,2829,1590,1589,19,24,SUV,平开门,(标配)5,(标配)5,52,703-1430,,,,,,,,,,,,,
72408,奔驰GLB,4638,1834,1692,2829,1590,1589,19,24,SUV,平开门,(标配)5,(标配)7,52,703-1430,,,,,,,,,,,,,
68207,奔驰GLB,4638,1834,1696,2829,1590,1592,19,24,SUV,平开门,(标配)5,(标配)5,52,703-1430,,,,,,,,,,,,,
68206,奔驰GLB,4638,1834,1706,2829,1589,1589,20,25,SUV,平开门,(标配)5,(标配)7,52,703-1430,,,,,,,,,,,,,
68996,奔驰GLB,4638,1834,1706,2829,1589,1589,20,25,SUV,平开门,(标配)5,(标配)7,60,703-1430,,,,,,,,,,,,,
69208,奔驰A级,4630,1796,1459,2789,1569,1558,14,22,三厢车,平开门,(标配)4,(标配)5,,,,,,,,,,,,,,,
69239,奔驰A级,4630,1796,1459,2789,1569,1558,14,22,三厢车,平开门,(标配)4,(标配)5,,,,,,,,,,,,,,,
65886,奔驰GLS,5210,2030,1823,3135,,,25.2,23.7,SUV,平开门,(标配)5,(标配)7,90,,,,,,,,,,,,,,
65918,奔驰GLS,5210,2030,1823,3135,,,25.2,23.7,SUV,平开门,(标配)5,(标配)7,90,,,,,,,,,,,,,,
70560,奔驰GLS,5210,2030,1838,3135,,,25.6,24,SUV,平开门,(标配)5,(标配)7,90,,,,,,,,,,,,,,
65978,奔驰G级,4875,1931,1978,2890,,,31.1,30.3,SUV,平开门,(标配)5,(标配)5,100,,,247,700,,,,,,,,,,
65977,奔驰G级,4877,1931,1975,2890,,,31.8,30.3,SUV,平开门,(标配)5,(标配)5,100,,,,,,,,,,,,,,
66721,奔驰G级,4877,1931,1975,2890,,,30.7,29.2,SUV,平开门,(标配)5,(标配)5,100,,,,,,,,,,,,,,
66524,奔驰G级,4877,1931,1975,2890,,,30.7,29.2,SUV,平开门,(标配)5,(标配)5,100,,,,,,,,,,,,,,
67435,奔驰G级,4877,1931,1975,2890,,,30.7,29.2,SUV,平开门,(标配)5,(标配)5,100,,,,,,,,,,,,,,
67805,奔驰V级,5140,1928,1880,3200,1666,1646,16,12,MPV,平开门+侧滑门,(标配)5,(标配)7,70,,,,,,,,,,,,,,
69449,奔驰V级,5140,1928,1920,3200,1666,1646,16,12,MPV,平开门+侧滑门,(标配)5,(标配)7,70,,,,,,,,,,,,,,
67807,奔驰V级,5370,1928,1920,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)5,(标配)7,70,,,,,,,,,,,,,,
67806,奔驰V级,5370,1928,1920,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)5,(标配)7,70,,,,,,,,,,,,,,
68065,奔驰G级AMG,4871,1984,1984,2890,1650,1654,27.8,30.6,SUV,平开门,(标配)5,(标配)5,100,640,,,,,,,,,,,,,
67436,奔驰G级AMG,4870,1984,1979,2890,1651,1652,27.8,30.6,SUV,平开门,(标配)5,(标配)5,100,,,,,,,,,,,,,,
63735,奔驰G级AMG,4870,1984,1979,2890,1651,1652,27.8,30.6,SUV,平开门,(标配)5,(标配)5,100,,,,,,,,,,,,,,
72405,奔驰GLA,4427,1834,1610,2729,1590,1592,19,29,SUV,平开门,(标配)5,(标配)5,51,435-1420,,,,,,,,,,,,,
72406,奔驰GLA,4427,1834,1610,2729,1590,1592,19,29,SUV,平开门,(标配)5,(标配)5,51,435-1420,,,,,,,,,,,,,
69235,奔驰GLA,4446,1849,1625,2729,1590,1592,17,26,SUV,平开门,(标配)5,(标配)5,51,435-1420,,,,,,,,,,,,,
72407,奔驰GLA,4427,1834,1620,2729,1590,1592,19,29,SUV,平开门,(标配)5,(标配)5,51,435-1420,,,,,,,,,,,,,
69237,奔驰GLA,4427,1834,1610,2729,1590,1592,19,29,SUV,平开门,(标配)5,(标配)5,51,435-1420,,,,,,,,,,,,,
69236,奔驰GLA,4446,1849,1625,2729,1590,1592,17,26,SUV,平开门,(标配)5,(标配)5,51,435-1420,,,,,,,,,,,,,
67809,威霆,5370,1928,1880,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)4,(标配)7,70,,,,,,,,,,,,,,
67810,威霆,5370,1928,1880,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)4,(标配)8,70,,,,,,,,,,,,,,
67808,威霆,5370,1928,1880,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)4,(标配)9,70,,,,,,,,,,,,,,
67813,威霆,5370,1928,1880,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)5,(标配)7,70,,,,,,,,,,,,,,
67811,威霆,5370,1928,1880,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)5,(标配)8,70,,,,,,,,,,,,,,
67812,威霆,5370,1928,1880,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)5,(标配)9,70,,,,,,,,,,,,,,
70926,迈巴赫GLS,5208,2030,1838,3135,,,27.8,24.3,SUV,平开门,(标配)5,"(标配)5,(选配)4",90,,,,,,,,,,,,,,
66811,迈巴赫GLS,5208,2030,1838,3135,,,27.8,24.3,SUV,平开门,(标配)5,(标配)4,90,,,,,,,,,,,,,,
70927,迈巴赫GLS,5208,2030,1838,3135,,,27.8,24.3,SUV,平开门,(标配)5,(标配)4,90,,,,,,,,,,,,,,
62314,迈巴赫GLS,5208,2030,1838,3135,,,27.8,24.3,SUV,平开门,(标配)5,"(标配)5,(选配)4",90,,,,,,,,,,,,,,
63209,迈巴赫GLS,5208,2030,1838,3135,,,27.8,24.3,SUV,平开门,(标配)5,(标配)4,90,,,,,,,,,,,,,,
70925,迈巴赫GLS,5208,2030,1838,3135,,,27.8,24.3,SUV,平开门,(标配)5,(标配)4,90,,,,,,,,,,,,,,
69085,奔驰CLA(进口),4692,1830,1431,2729,,,12.6,18.9,三厢车,平开门,(标配)4,(标配)5,51,470,,,,,,,,,,,,,
68971,奔驰CLA(进口),4692,1830,1431,2729,,,12.6,18.9,三厢车,平开门,(标配)4,(标配)5,51,470,,,,,,,,,,,,,
72341,奔驰CLA(进口),4692,1830,1431,2729,,,12.6,18.9,三厢车,平开门,(标配)4,(标配)5,51,470,,,,,,,,,,,,,
69086,奔驰CLA(进口),4692,1830,1435,2729,,,12.1,18.9,旅行车,平开门,(标配)5,(标配)5,51,505-1370,,,,,,,,,,,,,
72342,奔驰CLA(进口),4692,1830,1431,2729,,,12.6,18.9,三厢车,平开门,(标配)4,(标配)5,51,470,,,,,,,,,,,,,
72343,奔驰CLA(进口),4692,1830,1435,2729,,,12.1,18.9,旅行车,平开门,(标配)5,(标配)5,51,505-1370,,,,,,,,,,,,,
69088,奔驰CLA(进口),4692,1830,1431,2729,,,12.6,18.9,三厢车,平开门,(标配)4,(标配)5,51,470,,,,,,,,,,,,,
69084,奔驰CLA(进口),4692,1830,1431,2729,,,12.6,18.9,三厢车,平开门,(标配)4,(标配)5,51,470,,,,,,,,,,,,,
