CAR_ID,品牌系列,前/后驻车雷达,驾驶辅助影像,前方感知摄像头,摄像头数量,车内摄像头数量,超声波雷达数量,透明底盘/540度影像,毫米波雷达数量,前方感知摄像头像素,辅助驾驶芯片,芯片总算力,激光雷达数量,前方最大探测距离,激光雷达品牌,激光雷达线数,激光雷达10%反射率探测距离,环视摄像头像素,环境感知摄像头像素,激光雷达型号,激光雷达点云数量
69086,奔驰CLA(进口),前(标配) / 后(标配),(标配)倒车影像,(标配)单目,(标配)2个,,(标配)12个,,,,,,,,,,,,,,
72342,奔驰CLA(进口),前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
72343,奔驰CLA(进口),前(标配) / 后(标配),(标配)倒车影像,(标配)单目,(标配)2个,,(标配)12个,,,,,,,,,,,,,,
69088,奔驰CLA(进口),前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
69084,奔驰CLA(进口),前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
71445,奔驰CLE,前(标配) / 后(标配),(标配)倒车影像,"(标配)单目,(选配)双目","(标配)2个,(选配)3个",,(标配)12个,,"(标配)3个,(选配)5个",,,,,,,,,,,,
71443,奔驰CLE,前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像","(标配)单目,(选配)双目","(标配)2个,(选配)6个",,(标配)12个,,"(标配)3个,(选配)5个",,,,,,,,,,,,
65901,奔驰CLE,前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像","(标配)单目,(选配)双目","(标配)2个,(选配)3个",,(标配)12个,,"(标配)3个,(选配)5个",,,,,,,,,,,,
71442,奔驰CLE,前(标配) / 后(标配),(标配)360度全景影像,"(标配)单目,(选配)双目","(标配)5个,(选配)6个",,(标配)12个,,"(标配)3个,(选配)5个",,,,,,,,,,,,
67283,奔驰CLE,前(标配) / 后(标配),(标配)360度全景影像,"(标配)单目,(选配)双目","(标配)5个,(选配)6个",,(标配)12个,,"(标配)3个,(选配)5个",,,,,,,,,,,,
67439,奔驰CLE,前(标配) / 后(标配),(标配)倒车影像,"(标配)单目,(选配)双目","(标配)2个,(选配)3个",,(标配)12个,,,,,,,,,,,,,,
71444,奔驰CLE,前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像","(标配)单目,(选配)双目","(标配)2个,(选配)6个",,(标配)12个,,,,,,,,,,,,,,
71441,奔驰CLE,前(标配) / 后(标配),(标配)倒车影像,"(标配)单目,(选配)双目","(标配)2个,(选配)3个",,(标配)12个,,,,,,,,,,,,,,
69011,奔驰CLE,前(标配) / 后(标配),(标配)360度全景影像,"(标配)单目,(选配)双目","(标配)5个,(选配)6个",,(标配)12个,,,,,,,,,,,,,,
69012,奔驰CLE,前(标配) / 后(标配),(标配)360度全景影像,"(标配)单目,(选配)双目","(标配)5个,(选配)6个",,(标配)12个,,,,,,,,,,,,,,
60867,AMG GT,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
67636,AMG GT,前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像",,,,,,,,,,,,,,,,,,
60868,AMG GT,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
63122,奔驰E级(进口),前(标配) / 后(标配),(标配)倒车影像,(标配)双目,(标配)3个,(选配)1个,(标配)12个,,,,,,,,,,,,,,
70201,奔驰E级(进口),前(标配) / 后(标配),(标配)倒车影像,(标配)双目,(标配)3个,(选配)1个,(标配)12个,,,,,,,,,,,,,,
63123,奔驰E级(进口),前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,(标配)1个,(标配)12个,,,,,,,,,,,,,,
70202,奔驰E级(进口),前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像",,,,,,,,,,,,,,,,,,
59860,奔驰E级(进口),前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像",,,,,,,,,,,,,,,,,,
70203,奔驰E级(进口),前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像",,,,,,,,,,,,,,,,,,
63124,奔驰E级(进口),前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像",,,,,,,,,,,,,,,,,,
63125,奔驰E级(进口),前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
63004,奔驰CLS,前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像",,(选配)4个,,(标配)12个,,,,,,,,,,,,,,
63005,奔驰CLS,前(标配) / 后(标配),(标配)360度全景影像,,(标配)4个,,(标配)12个,,,,,,,,,,,,,,
63006,奔驰CLS,前(标配) / 后(标配),(标配)360度全景影像,,(标配)4个,,(标配)12个,,,,,,,,,,,,,,
61395,奔驰GLE AMG,前(标配) / 后(标配),(标配)360度全景影像,,(标配)4个,,(标配)12个,(标配),,,,,,,,,,,,,
70923,奔驰GLE AMG,前(标配) / 后(标配),(标配)360度全景影像,,(标配)4个,,(标配)12个,(标配),,,,,,,,,,,,,
70213,奔驰GLC轿跑,前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像","(标配)单目,(选配)双目","(标配)2个,(选配)6个",,(标配)12个,(选配),,,,,,,,,,,,,
70214,奔驰GLC轿跑,前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像","(标配)单目,(选配)双目","(标配)2个,(选配)6个",,(标配)12个,(选配),,,,,,,,,,,,,
