CAR_ID,品牌系列,简称,挡位个数,变速箱类型
69011,奔驰CLE,9挡手自一体,9,手自一体变速箱(AT)
69012,奔驰CLE,9挡手自一体,9,手自一体变速箱(AT)
60867,AMG GT,9挡手自一体,9,手自一体变速箱(AT)
67636,AMG GT,9挡手自一体,9,手自一体变速箱(AT)
60868,AMG GT,9挡手自一体,9,手自一体变速箱(AT)
63122,奔驰E级(进口),9挡手自一体,9,手自一体变速箱(AT)
70201,奔驰E级(进口),9挡手自一体,9,手自一体变速箱(AT)
63123,奔驰E级(进口),9挡手自一体,9,手自一体变速箱(AT)
70202,奔驰E级(进口),9挡手自一体,9,手自一体变速箱(AT)
59860,奔驰E级(进口),9挡手自一体,9,手自一体变速箱(AT)
70203,奔驰E级(进口),9挡手自一体,9,手自一体变速箱(AT)
63124,奔驰E级(进口),9挡手自一体,9,手自一体变速箱(AT)
63125,奔驰E级(进口),9挡手自一体,9,手自一体变速箱(AT)
63004,奔驰CLS,9挡手自一体,9,手自一体变速箱(AT)
63005,奔驰CLS,9挡手自一体,9,手自一体变速箱(AT)
63006,奔驰CLS,9挡手自一体,9,手自一体变速箱(AT)
61395,奔驰GLE AMG,9挡手自一体,9,手自一体变速箱(AT)
70923,奔驰GLE AMG,9挡手自一体,9,手自一体变速箱(AT)
70213,奔驰GLC轿跑,9挡手自一体,9,手自一体变速箱(AT)
70214,奔驰GLC轿跑,9挡手自一体,9,手自一体变速箱(AT)
66516,奔驰C级AMG,9挡手自一体,9,手自一体变速箱(AT)
66517,奔驰C级AMG,9挡手自一体,9,手自一体变速箱(AT)
70273,奔驰GLE新能源,9挡手自一体,9,手自一体变速箱(AT)
71115,奔驰A级AMG,8挡湿式双离合,8,湿式双离合变速箱(DCT)
71170,奔驰CLE AMG,9挡手自一体,9,手自一体变速箱(AT)
65910,奔驰GLB AMG,8挡湿式双离合,8,湿式双离合变速箱(DCT)
71116,奔驰A级AMG(进口),8挡湿式双离合,8,湿式双离合变速箱(DCT)
68606,奔驰A级AMG(进口),8挡湿式双离合,8,湿式双离合变速箱(DCT)
66533,奔驰A级AMG(进口),8挡湿式双离合,8,湿式双离合变速箱(DCT)
68559,奔驰E级新能源,9挡手自一体,9,手自一体变速箱(AT)
65775,奔驰E级新能源,9挡手自一体,9,手自一体变速箱(AT)
70754,奔驰EQE,电动车单速变速箱,1,固定齿比变速箱
70753,奔驰EQE,电动车单速变速箱,1,固定齿比变速箱
69750,奔驰EQE,电动车单速变速箱,1,固定齿比变速箱
69333,奔驰EQB,电动车单速变速箱,1,固定齿比变速箱
69332,奔驰EQB,电动车单速变速箱,1,固定齿比变速箱
71114,奔驰CLA AMG,8挡湿式双离合,8,湿式双离合变速箱(DCT)
68688,奔驰CLA AMG,8挡湿式双离合,8,湿式双离合变速箱(DCT)
69334,奔驰EQA,电动车单速变速箱,1,固定齿比变速箱
63847,奔驰GLC AMG,9挡手自一体,9,手自一体变速箱(AT)
62313,奔驰GLS AMG,9挡手自一体,9,手自一体变速箱(AT)
70838,奔驰GLE轿跑,9挡手自一体,9,手自一体变速箱(AT)
70837,奔驰GLE轿跑,9挡手自一体,9,手自一体变速箱(AT)
70836,奔驰GLE轿跑,9挡手自一体,9,手自一体变速箱(AT)
70835,奔驰GLE轿跑,9挡手自一体,9,手自一体变速箱(AT)
59841,奔驰B级,7挡湿式双离合,7,湿式双离合变速箱(DCT)
59842,奔驰B级,7挡湿式双离合,7,湿式双离合变速箱(DCT)
59847,奔驰A级(进口),7挡湿式双离合,7,湿式双离合变速箱(DCT)
59846,奔驰A级(进口),7挡湿式双离合,7,湿式双离合变速箱(DCT)
60934,奔驰E级AMG,9挡手自一体,9,手自一体变速箱(AT)
69745,奔驰C级新能源,9挡手自一体,9,手自一体变速箱(AT)
71974,奔驰C级新能源,9挡手自一体,9,手自一体变速箱(AT)
64290,奔驰SL级AMG,9挡手自一体,9,手自一体变速箱(AT)
61685,奔驰EQS,电动车单速变速箱,1,固定齿比变速箱
61683,奔驰EQS,电动车单速变速箱,1,固定齿比变速箱
61684,奔驰EQS,电动车单速变速箱,1,固定齿比变速箱
67883,奔驰G级新能源,2挡自动,2,自动变速箱(AT)
68027,奔驰GLC轿跑 AMG,9挡手自一体,9,手自一体变速箱(AT)
68264,奔驰GLC新能源,9挡手自一体,9,手自一体变速箱(AT)
71117,奔驰S级AMG新能源,9挡手自一体,9,手自一体变速箱(AT)
67865,奔驰S级AMG新能源,9挡手自一体,9,手自一体变速箱(AT)
65986,奔驰S级新能源,9挡手自一体,9,手自一体变速箱(AT)
71822,奔驰S级新能源,9挡手自一体,9,手自一体变速箱(AT)
72446,奔驰GLA AMG,8挡湿式双离合,8,湿式双离合变速箱(DCT)
65909,奔驰GLA AMG,8挡湿式双离合,8,湿式双离合变速箱(DCT)
68011,迈巴赫EQS SUV,电动车单速变速箱,1,固定齿比变速箱
68012,迈巴赫EQS SUV,电动车单速变速箱,1,固定齿比变速箱
67866,奔驰C级AMG新能源,9挡手自一体,9,手自一体变速箱(AT)
71311,AMG GT新能源,9挡手自一体,9,手自一体变速箱(AT)
61518,迈巴赫S级新能源,9挡手自一体,9,手自一体变速箱(AT)
70924,奔驰GLE轿跑 AMG,9挡手自一体,9,手自一体变速箱(AT)
1016346,乌尼莫克U5023,8挡自动,8,自动变速箱(AT)
61039,奔驰EQS SUV,电动车单速变速箱,1,固定齿比变速箱
61040,奔驰EQS SUV,电动车单速变速箱,1,固定齿比变速箱
61041,奔驰EQS SUV,电动车单速变速箱,1,固定齿比变速箱
1016347,乌尼莫克U4023,8挡自动,8,自动变速箱(AT)
69663,奔驰EQE SUV AMG,电动车单速变速箱,1,固定齿比变速箱
62689,奔驰EQE AMG,电动车单速变速箱,1,固定齿比变速箱
61343,奔驰EQS AMG,电动车单速变速箱,1,固定齿比变速箱
60653,奔驰GLE轿跑新能源,9挡手自一体,9,手自一体变速箱(AT)
66162,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
71245,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
